Source;Target;Type;weight
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;J INT RELAT DEV ;directed;1
PONTIFICIA UNIV CATOLICA RIO DE JANEIRO;REV BRAS POLIT INT;directed;2
PONTIFICIA UNIV CATOLICA RIO DE JANEIRO;J INT RELAT DEV ;directed;1
POMPEU FABRA UNIVERSITY;REV INT ORGAN;directed;1
POLISH ACADEMY OF SCIENCES;CONTEMP SECUR POL;directed;1
POLISH ACADEMY OF SCIENCES;COMMON MKT LAW REV;directed;1
PHILIPPS UNIVERSITY MARBURG;J INT RELAT DEV ;directed;1
PETERSON INSTITUTE FOR INTERNATIONAL ECONOMICS;J PEACE RES;directed;2
PEPPERDINE UNIVERSITY;REV INT ORGAN;directed;3
PEPPERDINE UNIVERSITY;J PEACE RES;directed;1
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE);REV INT ORGAN;directed;3
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE);J PEACE RES;directed;12
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE);ASIAN PERSPECT-SEOUL;directed;1
PEKING UNIVERSITY;J PEACE RES;directed;1
PEKING UNIVERSITY;CHIN J INT POLIT;directed;1
PEKING UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;5
PEACE RESEARCH INSTITUTE OSLO (PRIO);J PEACE RES;directed;17
PEACE RESEARCH INSTITUTE OSLO (PRIO);J INT RELAT DEV ;directed;1
PEACE RES INST OSLO SAGE;ASIAN PERSPECT-SEOUL;directed;1
PARTIDO STATE UNIV;CONTEMP SE ASIA;directed;1
PARIS SCI & LETTRES;REV INT ORGAN;directed;1
PANTEION UNIVERSITY;COMMON MKT LAW REV;directed;1
PAMUKKALE UNIVERSITY;J PEACE RES;directed;1
PALACKY UNIVERSITY OLOMOUC;J INT RELAT DEV ;directed;1
PACIFIC FORUM;ASIAN PERSPECT-SEOUL;directed;1
PACIFIC FORUM;AUST J INT AFF;directed;2
PACIFIC FORUM;ASIAN PERSPECT-SEOUL;directed;1
OZYEGIN UNIVERSITY;ULUSLAR ILISKILER;directed;3
OXFORD CTR COMPETIT LAW & POLICY;COMMON MKT LAW REV;directed;1
OTTO FRIEDRICH UNIVERSITY BAMBERG;J PEACE RES;directed;1
OTTO FRIEDRICH UNIVERSITY BAMBERG;J INT RELAT DEV ;directed;1
OSMANIYE KORKUT ATA UNIVERSITY;ULUSLAR ILISKILER;directed;1
ORGANISATION FOR ECONOMIC CO-OPERATION & DEVELOPMENT (OECD);REV INT ORGAN;directed;1
OREGON STATE UNIVERSITY;J PEACE RES;directed;1
OPEN UNIVERSITY ISRAEL;REV INT ORGAN;directed;1
OPEN UNIVERSITY ISRAEL;J PEACE RES;directed;1
OPEN UNIVERSITY - UK;REV BRAS POLIT INT;directed;1
ONEILL INST NATL & GLOBAL HLTH LAW;ASIAN J WTO INT HEAL;directed;1
ONE EARTH FUTURE FDN;J PEACE RES;directed;2
OLD DOMINION UNIVERSITY;CHIN J INT POLIT;directed;1
OHIO STATE UNIVERSITY;REV INT ORGAN;directed;2
OHIO STATE UNIVERSITY;J INT RELAT DEV ;directed;1
OHIO STATE UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
OGEAR;ASIAN PERSPECT-SEOUL;directed;1
OFF ATTORNEY GEN;COMMON MKT LAW REV;directed;1
NTU COLL LAW & JUSTICE CONSTITUT COURT;ASIAN J WTO INT HEAL;directed;1
NTT DATA;J PEACE RES;directed;1
NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU);CONTEMP SECUR POL;directed;2
NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY (NTNU);J PEACE RES;directed;3
NORWEGIAN UNIVERSITY OF LIFE SCIENCES;ASIAN PERSPECT-SEOUL;directed;1
NORWEGIAN SCHOOL OF ECONOMICS (NHH);REV INT ORGAN;directed;1
NORWEGIAN INSTITUTE OF PUBLIC HEALTH (NIPH);J PEACE RES;directed;1
NORWEGIAN INSTITUTE FOR WATER RESEARCH (NIVA);ASIAN PERSPECT-SEOUL;directed;1
NORWEGIAN INST INT AFFAIRS NUPI;CONTEMP SECUR POL;directed;2
NORWEGIAN INST INT AFFAIRS NUPI;INT J-TORONTO;directed;3
NORWEGIAN INST INT AFFAIRS NUPI;COMMON MKT LAW REV;directed;1
NORWEGIAN INST INT AFFAIRS NUPI;J CURR SE ASIAN AFF;directed;1
NORWEGIAN INST INT AFFAIRS NUPI;ASIAN PERSPECT-SEOUL;directed;1
NORWEGIAN INST INT AFFAIRS;INT J-TORONTO;directed;1
NORTHWESTERN UNIVERSITY;REV INT ORGAN;directed;1
NORTHWESTERN UNIVERSITY;J CURR SE ASIAN AFF;directed;1
NORTHWESTERN UNIVERSITY;CONTEMP SE ASIA;directed;1
NORTHERN ILLINOIS UNIVERSITY;CONTEMP SE ASIA;directed;2
NORTHERN ARIZONA UNIVERSITY;J PEACE RES;directed;1
NORTHERN ARIZONA UNIVERSITY;J INT RELAT DEV ;directed;1
NORTHEAST NORMAL UNIVERSITY - CHINA;ASIAN PERSPECT-SEOUL;directed;1
NORTH SOUTH UNIVERSITY (NSU);INT J-TORONTO;directed;1
NORTH MINZU UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
NORTH DAKOTA STATE UNIVERSITY FARGO;J PEACE RES;directed;2
NORDIC INST ASIAN STUDIES;CONTEMP SE ASIA;directed;1
NORDIC AFRICA INST;J INT RELAT DEV ;directed;1
NIPISSING UNIVERSITY;INT J-TORONTO;directed;1
NICOLAUS COPERNICUS UNIVERSITY;COMMON MKT LAW REV;directed;1
NEWCASTLE UNIVERSITY - UK;COMMON MKT LAW REV;directed;1
NEW YORK UNIVERSITY;REV INT ORGAN;directed;1
NEW YORK UNIVERSITY;J PEACE RES;directed;5
NEW YORK UNIVERSITY;COMMON MKT LAW REV;directed;1
NEW YORK UNIV ABU DHABI;J PEACE RES;directed;1
NEW YORK UNIV ABU DHABI;ULUSLAR ILISKILER;directed;1
NEW ENGLAND CONSERVATORY MUS;ASIAN J WTO INT HEAL;directed;1
NEAR EAST UNIVERSITY;ULUSLAR ILISKILER;directed;1
NATO (NORTH ATLANTIC TREATY ORGANISATION),;INT J-TORONTO;directed;1
NATO (NORTH ATLANTIC TREATY ORGANISATION),;J CURR SE ASIAN AFF;directed;1
NATL UNIV MODERN LANGUAGES,;INT J-TORONTO;directed;1
NATL UNIV MODERN LANGUAGES,;AUST J INT AFF;directed;1
NATL SCI CTR,;J INT RELAT DEV ;directed;1
NATL INST HUMANITIES NIHU,;ASIAN PERSPECT-SEOUL;directed;1
NATL DEF HDQ,;INT J-TORONTO;directed;1
NATL COMM US CHINA RELAT,;ASIAN PERSPECT-SEOUL;directed;1
NATIONAL YANG MING CHIAO TUNG UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
NATIONAL UNIVERSITY OF SINGAPORE;CONTEMP SECUR POL;directed;1
NATIONAL UNIVERSITY OF SINGAPORE;REV INT ORGAN;directed;1
NATIONAL UNIVERSITY OF SINGAPORE;CHIN J INT POLIT;directed;1
NATIONAL UNIVERSITY OF SINGAPORE;INT J-TORONTO;directed;1
NATIONAL UNIVERSITY OF SINGAPORE;J CURR SE ASIAN AFF;directed;1
NATIONAL UNIVERSITY OF SINGAPORE;AUST J INT AFF;directed;1
NATIONAL UNIVERSITY OF SINGAPORE;J INT RELAT DEV ;directed;1
NATIONAL UNIVERSITY OF SINGAPORE;CONTEMP SE ASIA;directed;5
NATIONAL UNIVERSITY OF SINGAPORE;ASIAN PERSPECT-SEOUL;directed;2
NATIONAL UNIVERSITY OF ROSARIO;REV BRAS POLIT INT;directed;1
NATIONAL TAIWAN UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;2
NATIONAL TAIWAN UNIVERSITY;ASIAN J WTO INT HEAL;directed;3
NATIONAL TAIWAN UNIVERSITY;ULUSLAR ILISKILER;directed;1
NATIONAL GRADUATE INSTITUTE FOR POLICY STUDIES;AUST J INT AFF;directed;1
NATIONAL ECONOMICS UNIVERSITY - VIETNAM;J PEACE RES;directed;1
NATIONAL DEFENSE UNIVERSITY - USA;CONTEMP SE ASIA;directed;1
NATIONAL DEFENSE UNIVERSITY - USA;ASIAN PERSPECT-SEOUL;directed;1
NATIONAL CHENGCHI UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
NATIONAL CHENGCHI UNIVERSITY;ASIAN J WTO INT HEAL;directed;2
NATIONAL BUREAU OF ECONOMIC RESEARCH;INT J-TORONTO;directed;1
NARESUAN UNIVERSITY;J CURR SE ASIAN AFF;directed;2
NARESUAN UNIVERSITY;CONTEMP SE ASIA;directed;1
NARESUAN UNIVERSITY;J CURR SE ASIAN AFF;directed;1
NANYANG TECHNOLOGICAL UNIVERSITY & NATIONAL INSTITUTE OF EDUCATION (NIE) SINGAPORE;REV INT ORGAN;directed;1
NANYANG TECHNOLOGICAL UNIVERSITY & NATIONAL INSTITUTE OF EDUCATION (NIE) SINGAPORE;INT J-TORONTO;directed;1
NANYANG TECHNOLOGICAL UNIVERSITY & NATIONAL INSTITUTE OF EDUCATION (NIE) SINGAPORE;J CURR SE ASIAN AFF;directed;2
NANYANG TECHNOLOGICAL UNIVERSITY & NATIONAL INSTITUTE OF EDUCATION (NIE) SINGAPORE;AUST J INT AFF;directed;3
NANYANG TECHNOLOGICAL UNIVERSITY & NATIONAL INSTITUTE OF EDUCATION (NIE) SINGAPORE;CONTEMP SE ASIA;directed;6
NANYANG TECHNOLOGICAL UNIVERSITY & NATIONAL INSTITUTE OF EDUCATION (NIE) SINGAPORE;ASIAN PERSPECT-SEOUL;directed;4
NANYANG TECHNOL UNIV SINGAPORE;J CURR SE ASIAN AFF;directed;1
NANTES UNIVERSITE;COMMON MKT LAW REV;directed;1
NANTERRE UNIV;COMMON MKT LAW REV;directed;1
NANKAI UNIVERSITY;CHIN J INT POLIT;directed;3
NANJING UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
NANJING UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
NAMIK KEMAL UNIVERSITY;ULUSLAR ILISKILER;directed;1
MURDOCH UNIVERSITY;AUST J INT AFF;directed;2
MUNZUR UNIVERSITY;ULUSLAR ILISKILER;directed;2
MRKISH GERMAN UNIV;ULUSLAR ILISKILER;directed;1
MR & MRS SH WONG CTR STUDY MULTINATL CORP;CHIN J INT POLIT;directed;1
MOTU ECON & PUBL POLICY RES;J PEACE RES;directed;1
MOODYS;REV INT ORGAN;directed;1
MONTANA STATE UNIVERSITY SYSTEM;J INT RELAT DEV ;directed;1
MONASTERY SAN NICOLO;J INT RELAT DEV ;directed;1
MONASH UNIVERSITY;CONTEMP SECUR POL;directed;1
MONASH UNIVERSITY;J CURR SE ASIAN AFF;directed;1
MONASH UNIVERSITY;AUST J INT AFF;directed;5
MONASH UNIVERSITY;CONTEMP SE ASIA;directed;2
MOFIR;REV INT ORGAN;directed;1
MISSOURI STATE UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
MIDDLESEX UNIVERSITY;COMMON MKT LAW REV;directed;2
MIDDLEBURY INST INT STUDIES;CONTEMP SECUR POL;directed;1
MIDDLEBURY COLL;J PEACE RES;directed;2
MIDDLE EAST TECHNICAL UNIVERSITY;ULUSLAR ILISKILER;directed;5
MIDDLE EAST INST;ULUSLAR ILISKILER;directed;1
MICHIGAN STATE UNIVERSITY;J PEACE RES;directed;1
MIAMI UNIVERSITY;J PEACE RES;directed;1
METROPOLITAN UNIVERSITY PRAGUE;AUST J INT AFF;directed;1
METROPOLITAN UNIVERSITY PRAGUE;J INT RELAT DEV ;directed;2
MERCATOR RES INST GLOBAL COMMONS & CLIMATE CHANGE;REV INT ORGAN;directed;1
MEMORIAL UNIVERSITY NEWFOUNDLAND;INT J-TORONTO;directed;2
MEMORIAL UNIVERSITY NEWFOUNDLAND;J INT RELAT DEV ;directed;1
MEKONG ENVIRONM FORUM;ASIAN PERSPECT-SEOUL;directed;1
MEF UNIVERSITESI;J INT RELAT DEV ;directed;1
MCMASTER UNIVERSITY;J CURR SE ASIAN AFF;directed;2
MCGILL UNIVERSITY;REV INT ORGAN;directed;1
MCGILL UNIVERSITY;CHIN J INT POLIT;directed;1
MCGILL UNIVERSITY;INT J-TORONTO;directed;3
MCGILL UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
MAYNOOTH UNIVERSITY;COMMON MKT LAW REV;directed;1
MAX PLANCK SOCIETY;COMMON MKT LAW REV;directed;3
MAX PLANCK SOCIETY;J CURR SE ASIAN AFF;directed;1
MAX PLANCK SOCIETY;J INT RELAT DEV ;directed;1
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT);CHIN J INT POLIT;directed;1
MASARYK UNIVERSITY BRNO;CONTEMP SECUR POL;directed;1
MASARYK UNIVERSITY BRNO;COMMON MKT LAW REV;directed;1
MASARYK UNIVERSITY BRNO;J INT RELAT DEV ;directed;1
MARYVILLE COLL;J PEACE RES;directed;1
MARMARA UNIVERSITY;ULUSLAR ILISKILER;directed;4
MARINE CORPS UNIV;ASIAN PERSPECT-SEOUL;directed;1
MALAYSIA BASED RES SOCIAL ADV REFSA;ASIAN PERSPECT-SEOUL;directed;1
MAHIDOL UNIVERSITY;AUST J INT AFF;directed;1
MAHIDOL UNIVERSITY;CONTEMP SE ASIA;directed;2
MACQUARIE UNIVERSITY;AUST J INT AFF;directed;5
MACQUARIE UNIVERSITY;CONTEMP SE ASIA;directed;1
MACEWAN UNIV;INT J-TORONTO;directed;1
MACDONALD LAURIER INST;INT J-TORONTO;directed;1
MACALESTER COLLEGE;ULUSLAR ILISKILER;directed;1
MAASTRICHT UNIVERSITY;CONTEMP SECUR POL;directed;3
MAASTRICHT UNIVERSITY;COMMON MKT LAW REV;directed;5
MAASTRICHT UNIVERSITY;AUST J INT AFF;directed;1
LUISS GUIDO CARLI UNIVERSITY;CHIN J INT POLIT;directed;1
LUISS GUIDO CARLI UNIVERSITY;COMMON MKT LAW REV;directed;2
LSE SAW SWEE HOCK SOUTHEAST ASIA CTR;CONTEMP SE ASIA;directed;1
LSE IDEAS;CHIN J INT POLIT;directed;1
LOYOLA MARYMOUNT UNIVERSITY;J PEACE RES;directed;1
LOYENS & LOEFF LUXEMBOURG SARL;COMMON MKT LAW REV;directed;1
LOS RIOS COMMUNITY COLL DIST;J PEACE RES;directed;1
LONG ISL UNIV;ASIAN PERSPECT-SEOUL;directed;1
LONDON SCH ECON & POLIT SCI INT DEV;REV BRAS POLIT INT;directed;1
LIVERPOOL JOHN MOORES UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
LINGNAN UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
LIECHENSTEIN INST;COMMON MKT LAW REV;directed;1
LEWIS & CLARK COLL;J PEACE RES;directed;1
LEUPHANA UNIVERSITY LUNEBURG;REV INT ORGAN;directed;1
LEIPZIG UNIVERSITY;COMMON MKT LAW REV;directed;1
LEIPZIG UNIVERSITY;J INT RELAT DEV ;directed;1
LEIDEN UNIVERSITY - EXCL LUMC;CONTEMP SECUR POL;directed;3
LEIDEN UNIVERSITY - EXCL LUMC;REV INT ORGAN;directed;1
LEIDEN UNIVERSITY - EXCL LUMC;J PEACE RES;directed;2
LEIDEN UNIVERSITY - EXCL LUMC;COMMON MKT LAW REV;directed;5
LEIDEN UNIVERSITY - EXCL LUMC;AUST J INT AFF;directed;1
LEIDEN UNIVERSITY - EXCL LUMC;J INT RELAT DEV ;directed;1
LEIDEN UNIVERSITY - EXCL LUMC;ASIAN PERSPECT-SEOUL;directed;2
LEIDEN UNIVERSITY - EXCL LUMC;ASIAN J WTO INT HEAL;directed;1
LEIDEN UNIVERSITY - EXCL LUMC;ULUSLAR ILISKILER;directed;1
LEICESTER LAW SCH;COMMON MKT LAW REV;directed;1
LEIBNIZ INSTITUT HESSISCHE STIFTUNG FRIEDENS UND KONFLIKTFORSCHUNG (HSFK);CONTEMP SECUR POL;directed;1
LEIBNIZ INSTITUT HESSISCHE STIFTUNG FRIEDENS UND KONFLIKTFORSCHUNG (HSFK);J PEACE RES;directed;1
LEIBNIZ INSTITUT HESSISCHE STIFTUNG FRIEDENS UND KONFLIKTFORSCHUNG (HSFK);J INT RELAT DEV ;directed;3
LEFKE AVRUPA UNIV;ULUSLAR ILISKILER;directed;1
LEE KUAN YEW SCH PUBL POLICY;CHIN J INT POLIT;directed;1
LEE COLL;ULUSLAR ILISKILER;directed;1
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;CONTEMP SECUR POL;directed;10
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;REV INT ORGAN;directed;30
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;J PEACE RES;directed;22
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;INT J-TORONTO;directed;2
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;COMMON MKT LAW REV;directed;33
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;J CURR SE ASIAN AFF;directed;4
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;AUST J INT AFF;directed;1
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;REV BRAS POLIT INT;directed;2
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;J INT RELAT DEV ;directed;17
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;CONTEMP SE ASIA;directed;5
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;ASIAN PERSPECT-SEOUL;directed;7
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;ASIAN J WTO INT HEAL;directed;1
LEAGUE OF EUROPEAN RESEARCH UNIVERSITIES - LERU;ULUSLAR ILISKILER;directed;2
LAVAL UNIVERSITY;REV INT ORGAN;directed;1
LANZHOU UNIVERSITY;CHIN J INT POLIT;directed;1
LANZHOU UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
LANCASTER UNIVERSITY;CHIN J INT POLIT;directed;1
LANCASTER UNIVERSITY;ULUSLAR ILISKILER;directed;1
LAKEHEAD UNIVERSITY;INT J-TORONTO;directed;1
LAKEHEAD UNIVERSITY;J INT RELAT DEV ;directed;1
LAFAYETTE COLLEGE;CHIN J INT POLIT;directed;1
LAFAYETTE COLLEGE;J INT RELAT DEV ;directed;1
LA TROBE UNIVERSITY;J CURR SE ASIAN AFF;directed;1
LA TROBE UNIVERSITY;AUST J INT AFF;directed;6
LA TROBE UNIVERSITY;CONTEMP SE ASIA;directed;2
LA ROCHELLE UNIVERSITE;COMMON MKT LAW REV;directed;1
KOZMINSKI UNIVERSITY;COMMON MKT LAW REV;directed;1
KOREA UNIVERSITY;CONTEMP SECUR POL;directed;1
KOREA UNIVERSITY;REV INT ORGAN;directed;1
KOREA UNIVERSITY;J INT RELAT DEV ;directed;1
KOREA UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;2
KOREA UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
KOREA MIL ACAD;J PEACE RES;directed;1
KOREA MIL ACAD;ASIAN PERSPECT-SEOUL;directed;1
KOREA INST NATL UNIFICAT;J PEACE RES;directed;1
KOREA ECON INST KEI AMER;ASIAN PERSPECT-SEOUL;directed;1
KOOKMIN UNIVERSITY;J PEACE RES;directed;1
KOOKMIN UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;2
KONKUK UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
KOF SWISS ECON INST;REV INT ORGAN;directed;1
KOF;REV INT ORGAN;directed;1
KOC UNIVERSITY;J PEACE RES;directed;2
KOC UNIVERSITY;J INT RELAT DEV ;directed;1
KOC UNIVERSITY;ULUSLAR ILISKILER;directed;3
KOBE UNIVERSITY;J PEACE RES;directed;1
KIRKLARELI UNIVERSITY;ULUSLAR ILISKILER;directed;1
KIMEP UNIVERSITY;J CURR SE ASIAN AFF;directed;1
KIMEP UNIVERSITY;AUST J INT AFF;directed;1
KHON KAEN UNIVERSITY;CONTEMP SE ASIA;directed;1
KDI SCHOOL OF PUBLIC POLICY & MANAGEMENT;ASIAN J WTO INT HEAL;directed;1
KARAMANOGLU MEHMETBEY UNIVERSITY;ULUSLAR ILISKILER;directed;1
KARADENIZ TECHNICAL UNIVERSITY;ULUSLAR ILISKILER;directed;1
KANSAI GAIDAI UNIV;ASIAN PERSPECT-SEOUL;directed;1
KANAGAWA UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
KADIR HAS UNIVERSITY;J INT RELAT DEV ;directed;1
KADIR HAS UNIVERSITY;ULUSLAR ILISKILER;directed;6
JWK LAW OFF;ASIAN J WTO INT HEAL;directed;1
JUSTUS LIEBIG UNIVERSITY GIESSEN;J INT RELAT DEV ;directed;1
JUSTICE TAIWAN CONSTITUT COURT;ASIAN J WTO INT HEAL;directed;1
JOINT SERV COMMAND & STAFF COLL;CONTEMP SECUR POL;directed;1
JOHNS HOPKINS UNIVERSITY;REV INT ORGAN;directed;1
JOHNS HOPKINS UNIVERSITY;J PEACE RES;directed;1
JOHNS HOPKINS UNIVERSITY;INT J-TORONTO;directed;1
JOHNS HOPKINS UNIVERSITY;AUST J INT AFF;directed;2
JOHNS HOPKINS UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;7
JINAN UNIVERSITY;J INT RELAT DEV ;directed;1
JEONBUK NATIONAL UNIVERSITY;INT J-TORONTO;directed;1
JEONBUK NATIONAL UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
JAWAHARLAL NEHRU UNIVERSITY, NEW DELHI;AUST J INT AFF;directed;1
JAWAHARLAL NEHRU UNIVERSITY, NEW DELHI;ASIAN PERSPECT-SEOUL;directed;1
JAPAN EXTERNAL TRADE ORG IDE JETRO;ASIAN PERSPECT-SEOUL;directed;1
JANDARMA & SAHIL GUVENLIK AKAD;ULUSLAR ILISKILER;directed;1
JACQUES DELORS CTR;REV INT ORGAN;directed;2
JACOBS UNIVERSITY;REV INT ORGAN;directed;1
IZMIR KATIP CELEBI UNIVERSITY;ULUSLAR ILISKILER;directed;4
IZMIR EKONOMI UNIVERSITESI;ULUSLAR ILISKILER;directed;2
ISTANBUL UNIVERSITY;ULUSLAR ILISKILER;directed;2
ISTANBUL TICARET UNIVERSITY;ULUSLAR ILISKILER;directed;2
ISTANBUL TECHNICAL UNIVERSITY;ULUSLAR ILISKILER;directed;1
ISTANBUL GELISIM UNIVERSITY;ULUSLAR ILISKILER;directed;1
ISTANBUL ESENYURT UNIVERSITY;ULUSLAR ILISKILER;directed;1
ISTANBUL BILGI UNIVERSITY;J INT RELAT DEV ;directed;1
ISTANBUL BILGI UNIVERSITY;ULUSLAR ILISKILER;directed;5
IST AFFARI INT;CONTEMP SECUR POL;directed;1
ISRAELI YOUNG ACAD SCI & HUMANITIES;ASIAN PERSPECT-SEOUL;directed;1
ISKENDERUN TECHNICAL UNIVERSITY;ULUSLAR ILISKILER;directed;1
ISEAS YUSOF ISHAK INST;AUST J INT AFF;directed;1
ISEAS YUSOF ISHAK INST;CONTEMP SE ASIA;directed;9
ISEAS YUSOF ISHAK INST;ASIAN PERSPECT-SEOUL;directed;1
ISEAS;CONTEMP SE ASIA;directed;1
ISEAS;ASIAN PERSPECT-SEOUL;directed;1
IOWA STATE UNIVERSITY;J PEACE RES;directed;1
INTERDISCIPLINARY CENTER (IDC) HERZLIYA;REV INT ORGAN;directed;1
INTERDISCIPLINARY CENTER (IDC) HERZLIYA;J PEACE RES;directed;3
INTER-AMERICAN DEVELOPMENT BANK;REV INT ORGAN;directed;2
INTELLISIA INST;INT J-TORONTO;directed;1
INTELLISIA INST;AUST J INT AFF;directed;2
INT UNIV JAPAN;J CURR SE ASIAN AFF;directed;1
INT INST STRATEG STUDIES ASIA;AUST J INT AFF;directed;1
INT COMM RED CROSS,;CHIN J INT POLIT;directed;1
INSTITUTO UNIVERSITARIO DE LISBOA;J INT RELAT DEV ;directed;1
INSTITUTO DE PESQUISA ECONOMICA APLICADA (IPEA);REV BRAS POLIT INT;directed;1
INSTITUTE OF INTERNATIONAL RELATIONS - CZECH REPUBLIC;J INT RELAT DEV ;directed;3
INSTITUT D'ETUDES POLITIQUES PARIS (SCIENCES PO);COMMON MKT LAW REV;directed;1
INST SOCIAL RES;J PEACE RES;directed;1
INST PEACE ESEARCH & SECUR POLICY;CONTEMP SECUR POL;directed;1
INST HAUTES ETUD INT & DEV;REV BRAS POLIT INT;directed;1
INST FOREIGN POLICY & STRATEG STUDIES;CONTEMP SE ASIA;directed;1
INST CONTEMPORARY ASIAN STUDIES;CONTEMP SE ASIA;directed;1
INST COMPLUTENSE ESTUDIOS INT ICEI;REV BRAS POLIT INT;directed;1
INST BUSINESS ADM KARACHI;J PEACE RES;directed;1
INST BRASILEIRO MERCADO CAPITAIS;REV BRAS POLIT INT;directed;1
INST BARCELONA ESTUDIS INT IBEI;REV INT ORGAN;directed;1
INST APPL ECON RES INT STUDIES POLIT & ECON RELAT;REV BRAS POLIT INT;directed;1
INST ADV SUSTAINABIL STUDIES EV IASS;J INT RELAT DEV ;directed;1
INST ADV RES ARTIFICIAL INTELLIGENCE IARAI;ASIAN PERSPECT-SEOUL;directed;1
INONU UNIVERSITY;ULUSLAR ILISKILER;directed;1
INDONESIAN SURVEY INST;CONTEMP SE ASIA;directed;1
INDONESIAN POLIT INDICATOR;CONTEMP SE ASIA;directed;1
INDONESIAN INSTITUTE OF SCIENCES;J CURR SE ASIAN AFF;directed;1
INDONESIAN INSTITUTE OF SCIENCES;CONTEMP SE ASIA;directed;2
INDONESIAN INST SCI PMB LIPI;CONTEMP SE ASIA;directed;1
INDONESIAN INST SCI P2P LIPI;J CURR SE ASIAN AFF;directed;1
INDONESIAN DEF UNIV;J CURR SE ASIAN AFF;directed;1
INDONESIAN DEF UNIV;AUST J INT AFF;directed;1
INDIANA UNIVERSITY SYSTEM;REV INT ORGAN;directed;1
INDIANA UNIVERSITY SYSTEM;J PEACE RES;directed;2
INDIANA UNIVERSITY SYSTEM;INT J-TORONTO;directed;1
INDIAN INST FOREIGN TRADE;ASIAN J WTO INT HEAL;directed;1
INCHEON NATIONAL UNIVERSITY;ASIAN J WTO INT HEAL;directed;1
IHSAN DOGRAMACI BILKENT UNIVERSITY;J PEACE RES;directed;2
IHSAN DOGRAMACI BILKENT UNIVERSITY;CHIN J INT POLIT;directed;1
IHSAN DOGRAMACI BILKENT UNIVERSITY;INT J-TORONTO;directed;1
IHSAN DOGRAMACI BILKENT UNIVERSITY;ULUSLAR ILISKILER;directed;7
IFO INSTITUT;REV INT ORGAN;directed;7
IFO INSTITUT;J PEACE RES;directed;1
IE UNIVERSITY;REV INT ORGAN;directed;2
IBN HALDUN UNIVERSITY;J INT RELAT DEV ;directed;1
HUNGARIAN ACADEMY OF SCIENCES;J INT RELAT DEV ;directed;1
HUMBOLDT UNIVERSITY OF BERLIN;J PEACE RES;directed;1
HUMBOLDT UNIVERSITY OF BERLIN;COMMON MKT LAW REV;directed;3
HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY;ASIAN J WTO INT HEAL;directed;1
HUAQIAO UNIVERSITY;INT J-TORONTO;directed;1
HUAQIAO UNIVERSITY;AUST J INT AFF;directed;2
HUAQIAO UNIVERSITY;ASIAN PERSPECT-SEOUL;directed;1
HSE UNIVERSITY (NATIONAL RESEARCH UNIVERSITY HIGHER SCHOOL OF ECONOMICS);J PEACE RES;directed;1
HSE UNIVERSITY (NATIONAL RESEARCH UNIVERSITY HIGHER SCHOOL OF ECONOMICS);CHIN J INT POLIT;directed;1
